,Title,ISBN,Rating
222,The Art of Happiness,9781573221115.0,
223,Slaughterhouse-Five,9780385333849.0,
224,The Viking Way: Magic and Mind in Late Iron Age Scandinavia,9781842172605.0,
225,A Breath of Snow and Ashes,9780385340397.0,
226,The House of Medici: Its Rise and Fall,9780688053390.0,
227,Legend,,
228,Dead to the World,9780441012183.0,
229,The Picture of Dorian Gray,,
230,Blood of Elves,9780316029193.0,
231,Sword of Destiny,,
232,The Untethered Soul: The Journey Beyond Yourself,9781572245372.0,
233,American Gods,,
234,On the Way to the Wedding,9780060531256.0,
235,The Eye of the World,9780812511819.0,
236,Eldest,9780375840401.0,
237,The Lies of Locke Lamora,,
238,The Well of Ascension,9780765316882.0,
239,"Guns, Germs, and Steel: The Fates of Human Societies",9780739467350.0,
240,Dark Lover,9780451216953.0,
242,The Reluctant Dragon,9780823400935.0,
243,Throne of Jade,9780345481290.0,
246,Inferno,9780812970067.0,
248,The Dragon Queen,9780345443991.0,
249,Dreaming the Eagle,9780385336703.0,
250,"Once Bitten, Twice Shy",9780316020466.0,
251,Dragonflight,9780345484260.0,
252,Ella Enchanted,9780590920681.0,
254,The Name of the Wind,9780756404079.0,
255,Anna Karenina,,
256,A New Earth: Awakening to Your Life's Purpose,9780452287587.0,
258,Mythology: Timeless Tales of Gods and Heroes,9780316438520.0,
259,Gardens of the Moon,9780765348784.0,
260,Eclipse,9780316160209.0,
261,The Guernsey Literary and Potato Peel Pie Society,9781984801814.0,
263,Harry Potter and the Order of the Phoenix,,
264,An Echo in the Bone,9780752898476.0,
266,Metamorphoses,9780140447897.0,
267,Mastering the Art of French Cooking,9780375413407.0,
268,Elantris,9780765350374.0,
269,Chances,9780330266635.0,
270,The Queen of the Night,9780618663026.0,
271,Chocolat,9780141000183.0,
272,A Dance with Dragons,,
273,Medea,9780486275482.0,
274,Daughter of the Empire,9780553272116.0,
275,Breaking Dawn,9780316067928.0,
276,Unfinished Tales of Númenor and Middle-earth,9780261102163.0,
277,Harry Potter and the Deathly Hallows,,
280,Jane Eyre,9780142437209.0,
281,Perfume: The Story of a Murderer,9780140120837.0,
283,Harry Potter and the Goblet of Fire,,
284,Pride and Prejudice,,
285,Lord of the Silver Bow,9780345494573.0,
286,Furies of Calderon,9780441012688.0,
287,Drums of Autumn,9780525618737.0,
288,Brisingr,9780375826726.0,
289,From Dead to Worse,9780441015894.0,
290,All Together Dead,9780441014941.0,
292,Dracula,9780393970128.0,
293,Stardust,9780061142024.0,
296,New Moon,,
298,The Shadow of the Wind,,
300,Little Women,,
301,The Way of Shadows,9780316033671.0,
302,Graceling,9780152063962.0,
303,A Clash of Kings,9780553381696.0,
304,To Kill a Mockingbird,,
305,The Iliad,9780140275360.0,
306,Excalibur,9780312206482.0,
307,The Lightning Thief,,
311,Emma,9780141199528.0,
312,The House of the Spirits,9780553383805.0,
313,The Ten Thousand,9781844165735.0,
314,City of Glass,9781416914303.0,
315,The Lord of the Rings,,
316,The Dig,9780241989630.0,
317,Dune,9780441013593.0,
318,Jonathan Strange & Mr Norrell,,
319,When He Was Wicked: The 2nd Epilogue,9780061444784.0,
320,Romancing Mister Bridgerton: The 2nd Epilogue,9780061444838.0,
321,The Viscount Who Loved Me: The 2nd Epilogue,9780061235443.0,
322,Fantastic Beasts and Where to Find Them,9780439321600.0,
325,The Silmarillion,9780618391110.0,
328,Siddhartha,,
329,Dead and Gone,9780441017157.0,
332,The Children of Húrin,9780007252268.0,
334,Pride and Prejudice and Zombies,9781594743344.0,
335,Myths & Legends: An illustrated guide to their origins and meanings,9780241387054.0,
336,Catching Fire,9780439023498.0,
337,Harry Potter and the Chamber of Secrets,,
338,Blood Eye,9780593061626.0,
340,A Touch of Dead,9780441017836.0,
342,Fair Game,9781841497969.0,
343,The Winds of Winter,9780002247412.0,
344,A Dream of Spring,,
346,The Dragonriders of Pern,9780785729198.0,
347,The Hundred Thousand Kingdoms,9780316043915.0,
348,Wolf Signs,,
349,Clockwork Angel,9781416975861.0,
350,Clockwork Prince,9781416975885.0,
352,The Iron King,9780373210084.0,
353,Dead in the Family,9780441018642.0,
354,An Offer From a Gentleman: the 2nd Epilogue,9780061965562.0,
355,Renaissance,9780718156022.0,
356,The Way of Kings,9780765326355.0,
357,Mockingjay,9780439023511.0,
361,Dead Reckoning,,
363,Gone Girl,,
365,Daughter of Smoke & Bone,9780316134026.0,
366,Rivers of London,9780575097568.0,
367,The Dragon's Path,9781841498874.0,
368,Leviathan Wakes,9781841499888.0,
369,A Dance of Cloaks,9781453706015.0,
370,Legend,,
371,The Night Circus,9780385534635.0,
372,Prince of Thorns,9780007423293.0,
373,The Goddess Test,9780373210268.0,
374,The Inheritance,9780007273775.0,
375,The Written,9780956770004.0,
376,Goddess Interrupted,9780373210459.0,
377,"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",,
378,Shadow and Bone,9780805094596.0,
379,Shadow and Bone,9781250777881.0,
380,Deadlocked,9780575096578.0,
381,Cinder,,
384,The Song of Achilles,9781408816035.0,
385,Angelfall,,
386,Words of Radiance,9780765326362.0,
387,Written in My Own Heart's Blood,9780385344432.0,
389,The Bridgertons: Happily Ever After,9780061233005.0,
390,Aristotle and Dante Discover the Secrets of the Universe,9781442408920.0,
391,Dead Ever After,9781937007881.0,
392,Falling Kingdoms,9781595145840.0,
393,The Falconer,9781452114231.0,
394,A Natural History of Dragons,9780765331960.0,
395,The Goddess Hunt,9781426834158.0,
396,Sapiens: A Brief History of Humankind,,
397,The Raven Boys,9780545424929.0,
398,Poison Princess,9781481426664.0,
399,The Goddess Legacy,9780373210756.0,
400,Defending Elysium,,
401,Blood Song,,
402,The Emperor's Soul,9781616960926.0,
403,Dangerous Women,,
404,Vicious,9781250183507.0,
405,Siege and Storm,,
406,Ruin and Rising,,
408,Malice,9780230758452.0,
409,Promise of Blood,9780316219037.0,
410,The Golem and the Jinni,9780062110831.0,
411,Turtles All the Way Down,9780525555360.0,
412,Red Rising,9780345539786.0,
414,A Man Called Ove,9781444775815.0,
415,The Martian,,
416,The Book of Life,9780670025596.0,
417,The Fall of Arthur,9780007489947.0,
418,Beyond the Highland Mist,9780440244165.0,
420,Kiss of Fire,,
421,The World of Ice & Fire: The Untold History of Westeros and the Game of Thrones,9780553805444.0,
422,Darkness of Light,,
423,The Goblin Emperor,9780765326997.0,
424,Senlin Ascends,9780316517911.0,
426,Age of Myth,9781101965337.0,
427,The Emperor's Blades,9780765336408.0,
428,Stolen Songbird,9781908844965.0,
435,The Blooding,9781781850107.0,
436,Odin's Child,9781646908011.0,
437,All the Light We Cannot See,9781476746586.0,
438,Galatea,9781526652065.0,
439,Prince of Fools,9780425268780.0,
440,Half a King,9780007550227.0,
442,Firebolt,9780998471426.0,
443,God of Vengeance,9780593066188.0,
444,The Fifth Season,,
445,Valor,,
446,Heartless,9781250044655.0,
447,Shifting Shadows,9780425265000.0,
448,Fool's Assassin,,
449,The Gospel of Loki,9781473202351.0,
450,Season of Storms,9780316441636.0,
451,Illuminae,9780553499117.0,
452,Princess of Thorns,9780385743228.0,
453,The Wrath and the Dawn,9780399171611.0,
454,Entreat Me,9781310227950.0,
456,The Grace of Kings,9781481424271.0,
457,The Architect's Apprentice,9780525427971.0,
459,The Woman Who Would Be King: Hatshepsut's Rise to Power in Ancient Egypt,9780307956767.0,
461,An Ember in the Ashes,,
463,A Darker Shade of Magic,9780765376459.0,
464,Spark,9781922179623.0,
465,Shadows for Silence in the Forests of Hell,,
466,Truthwitch,,
467,The Queen of All that Dies,,
468,Radiance,,
470,Harry Potter and the Half-Blood Prince,,
471,And I Darken,9780553522310.0,
472,Go Tell the Bees That I Am Gone,9780385685542.0,
473,Go Tell the Bees That I Am Gone,9781101885680.0,
474,Uprooted,9780804179034.0,
476,Six of Crows,,
477,Six of Crows,9781250777904.0,
478,Crooked Kingdom,,
480,Sleeping Giants,9781101886694.0,
481,An Echo of Things to Come,9780316274111.0,
482,Nevernight,,
483,Godsgrave,9780008180041.0,
484,Darkdawn,,
485,The Traitor Baru Cormorant,,
486,Guns of the Dawn,9780230770034.0,
487,Ruin,9781447259626.0,
488,City in Embers,,
489,Legacy of Kings,9780373211722.0,
490,Akarnae,9781921997501.0,
491,Twilight of the Gods,,
492,Receiver of Many,9780996644709.0,
493,Rebel of the Sands,9780698410428.0,
494,SPQR: A History of Ancient Rome,9781631492228.0,
498,Tree of Ages,9780692398920.0,
499,The Star-Touched Queen,9781250085474.0,
500,Homo Deus: A History of Tomorrow,,
501,The Barrier Between,,
503,The Bear and the Nightingale,9781101885932.0,
506,The Eagle Key,9781514131053.0,
508,Caraval,9781250095251.0,
509,Dragon of Legend: Destiny: Fantasy Dragon Adventure,,
510,A Gentleman in Moscow,,
511,The Waking Fire,9780356506395.0,
516,Daughter of the Pirate King,9781782693680.0,
518,The Forgetting Moon,,
519,The Invisible Life of Addie LaRue,9780765387561.0,
520,The Invisible Life of Addie LaRue,,
521,The Tiger and the Wolf,,
523,A Promise of Fire,,
524,A Promise of Fire,9781728251134.0,
527,Wrath,9781447259688.0,
528,Fool's Gold,9780356507651.0,
529,To Kill a Kingdom,9781250112682.0,
530,Gabriel And The Swallows,,
531,Certain Dark Things,9781250785589.0,
532,"The Hidden Life of Trees: What They Feel, How They Communicate: Discoveries from a Secret World",9781771642484.0,
533,Harry Potter and the Cursed Child: Parts One and Two,,
534,Wolfsong,9781035002139.0,
535,The Traitor's Kiss,,
536,The Hate U Give,,
537,Good Intentions,,
538,The Dragon’s Legacy,9781785651076.0,
539,Virgins,,
540,A Dead Djinn in Cairo,9780765389442.0,
541,The Watchmaker's Daughter,,
542,Catwoman: Soulstealer,9780399549694.0,
543,The Ninth Rain,9781472235176.0,
544,The Priory of the Orange Tree,,
545,Born a Crime: Stories From a South African Childhood,,
546,The Alchemists of Loom,9781619844414.0,
547,"The Complete Mediterranean Cookbook: 500 Vibrant, Kitchen-Tested Recipes for Living and Eating Well Every Day",9781940352640.0,
548,Aurora Rising,9781760295738.0,
549,The Princess Saves Herself in This One,9781532913686.0,
550,A Curse So Dark and Lonely,9781681195100.0,
551,A Curse So Dark and Lonely,9781681195087.0,
552,Waking Gods,9781101886724.0,
553,The Illustrated Mahabharata: The Definitive Guide to India’s Greatest Epic,9780241264348.0,
554,The Viking Spirit: An Introduction to Norse Mythology and Religion,,
555,Hunting Prince Dracula,9780316551663.0,
556,Kings of the Wyld,9780316362474.0,
557,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",9781476753836.0,
558,The Last Namsara,9780062567987.0,
559,The World of Throne of Glass,9781681195780.0,
561,Untitled,,
562,Untitled Novella,,
564,And Every Morning the Way Home Gets Longer and Longer,,
565,The Boneless Mercies,9780374307066.0,
566,The Dragons of Nova,9781619845534.0,
567,Moonshadow,,
569,The Wicked Deep,9781481497343.0,
570,Ash Princess,9781524767068.0,
571,The Half-Drowned King,9780062563699.0,
572,Beren and Lúthien,,
573,The City of Brass,9780062678102.0,
574,Aspects,,
575,Ninth House,,
576,All Systems Red,,
579,The Gilded Wolves,9781250144546.0,
580,101 Essays That Will Change the Way You Think,,
581,The Risk,,
582,Educated,,
583,Love Her Wild,9781501171239.0,
584,Wait for It,,
585,Air Awakens: Digital Boxed Set,,
587,Untitled,,
588,On Tyranny: Twenty Lessons from the Twentieth Century,9780804190114.0,
589,The Girl in the Tower,9781101885963.0,
590,Wylt,9780994582539.0,
591,Fatemarked,,
592,Dance of Thieves,9781250159014.0,
593,"Beowulf: A Translation and Commentary, together with Sellic Spell",9780007590087.0,
595,The Crown of Light,,
596,"Wild Embers: Poems of rebellion, fire and beauty",9780316519847.0,
597,Furyborn,9781492656623.0,
598,A Time of Dread,9781509812943.0,
599,Darkness Forged,,
600,Girls of Paper and Fire,9780316561365.0,
601,The Rebels of Gold,9781619846548.0,
602,Braving the Wilderness: The Quest for True Belonging and the Courage to Stand Alone,9780812995848.0,
603,Jade City,,
605,The Girl the Sea Gave Back,9781250168481.0,
606,Nolyn,9781944145644.0,
607,Heart of Mist,9780994165558.0,
608,Bone Crier's Moon,9780062798770.0,
609,The Poppy War,9780062662590.0,
610,Mythos: The Greek Myths Retold,9780718188726.0,
611,Rise of the Ranger,,
613,Lightness Falling,,
614,The Emperor of Evening Stars,,
615,"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret",9781524761387.0,
616,"The Year of Less: How I Stopped Shopping, Gave Away My Belongings, and Discovered Life Is Worth More Than Anything You Can Buy in a Store",9781401954871.0,
617,The Tattooist of Auschwitz,9780062870674.0,
618,The Sun and Her Flowers,9781449486792.0,
619,The Beast's Heart,9780440001775.0,
620,Warrior of the Wild,9781250189943.0,
621,The Shadows Between Us,9781250189967.0,
622,Bloodleaf,9780358242253.0,
623,A Little Hatred,9780316187169.0,
624,The Wolf,9780316521376.0,
625,The Fall of the King,,
626,Middlegame,,
627,Kings of Paradise,,
628,Lancelot,9781473543027.0,
629,The Light of All That Falls,9780356507835.0,
630,Murder Notes,,
631,King of Scars,,
632,Rule of Wolves,9781250142306.0,
633,21 Lessons for the 21st Century,9780525512172.0,
634,Blood Oath,,
635,We Hunt the Flame,9780374311544.0,
636,Gods of Jade and Shadow,,
637,Priest of Bones,9780451490216.0,
638,The Bone Houses,9780316418416.0,
639,Fireborne,,
640,The Winter of the Witch,9781101886007.0,
641,Spin the Dawn,,
642,Hood Feminism: Notes from the Women That a Movement Forgot,,
643,Society of Wishes,9781619848849.0,
644,Spinning Silver,,
645,Foundryside,9781524760366.0,
646,The 5 AM Club: Own Your Morning. Elevate Your Life,9781443456630.0,
647,Normal People,9781984822178.0,
648,From Lukov with Love,,
650,Crown of Coral and Pearl,,
651,Circle of Ashes,9781619849044.0,
652,A Time of Blood,9781509812981.0,
653,Sixteen Ways to Defend a Walled City,9780356506739.0,
654,The Silence of the Girls,,
655,The Tiger at Midnight,9780062869210.0,
656,Blood Heir,9780525707790.0,
657,Time's Convert,9780399564536.0,
658,The Huntress,9780062740380.0,
